congruent,word,corrAns,letterColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,trialResp.keys,trialResp.corr,trialResp.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,space,1.28835606575,,,,,,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
1,blue,right,blue,0,0,0,4,,,,,,,,,,,down,0,1.38404488564,,,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
1,red,left,red,0,1,1,0,,,,,,,,,,,left,1,0.919038057327,,,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
0,blue,left,red,0,2,2,5,,,,,,,,,,,left,1,0.435425043106,,,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
0,green,right,blue,0,3,3,3,,,,,,,,,,,right,1,1.35208296776,,,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
1,green,down,green,0,4,4,2,,,,,,,,,,,down,1,0.718536138535,,,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
0,red,down,green,0,5,5,1,,,,,,,,,,,down,1,0.41847205162,,,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
,,,,,,,,,,,,,,,,,,,,,space,0.884109973907,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
0,blue,left,red,,,,,0,0,0,5,,,,,,,left,1,0.733960151672,,,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
1,red,left,red,,,,,0,1,1,0,,,,,,,left,1,0.368718147278,,,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
1,blue,right,blue,,,,,0,2,2,4,,,,,,,right,1,0.568824052811,,,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
0,green,right,blue,,,,,0,3,3,3,,,,,,,right,1,0.40204000473,,,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
1,green,down,green,,,,,0,4,4,2,,,,,,,down,1,0.485401153564,,,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
0,red,down,green,,,,,0,5,5,1,,,,,,,down,1,0.435357093811,,,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
,,,,,,,,,,,,,,,,,,,,,space,0.720000982285,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
0,blue,left,red,,,,,,,,,0,0,0,5,,,left,1,0.702492952347,,,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
1,red,left,red,,,,,,,,,0,1,1,0,,,left,1,0.402223110199,,,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
0,green,right,blue,,,,,,,,,0,2,2,3,,,right,1,0.718971014023,,,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
0,red,down,green,,,,,,,,,0,3,3,1,,,down,1,0.368813037872,,,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
1,blue,right,blue,,,,,,,,,0,4,4,4,,,right,1,0.502340078354,,,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
1,green,down,green,,,,,,,,,0,5,5,2,,,down,1,0.501992940903,,,2017_Oct_25_1205,59.9926766752,StroopExp,001,buddha,
