13.5447 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x112959c50>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.5448 	EXP 	window1: recordFrameIntervals = False
13.7101 	EXP 	window1: recordFrameIntervals = True
13.8937 	EXP 	window1: recordFrameIntervals = False
14.1463 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
14.1529 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
14.1695 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
14.1745 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
14.1876 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
14.1924 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
14.2012 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Thank you for your participation!', units=u'norm', win=Window(...), wrapWidth=1)
14.2047 	EXP 	window1: blendMode = 'avg'
14.2104 	EXP 	text_2: autoDraw = True
14.2130 	EXP 	window1: blendMode = 'avg'
14.2284 	EXP 	window1: blendMode = 'avg'
14.2452 	EXP 	window1: blendMode = 'avg'
14.2619 	EXP 	window1: blendMode = 'avg'
14.2783 	EXP 	window1: blendMode = 'avg'
14.2950 	EXP 	window1: blendMode = 'avg'
14.3117 	EXP 	window1: blendMode = 'avg'
14.3282 	EXP 	window1: blendMode = 'avg'
14.3450 	EXP 	window1: blendMode = 'avg'
14.3615 	EXP 	window1: blendMode = 'avg'
14.3783 	EXP 	window1: blendMode = 'avg'
14.3950 	EXP 	window1: blendMode = 'avg'
14.4117 	EXP 	window1: blendMode = 'avg'
14.4284 	EXP 	window1: blendMode = 'avg'
14.4450 	EXP 	window1: blendMode = 'avg'
14.4615 	EXP 	window1: blendMode = 'avg'
14.4783 	EXP 	window1: blendMode = 'avg'
14.4948 	EXP 	window1: blendMode = 'avg'
14.5125 	EXP 	window1: blendMode = 'avg'
14.5281 	EXP 	window1: blendMode = 'avg'
14.5453 	EXP 	window1: blendMode = 'avg'
14.5614 	EXP 	window1: blendMode = 'avg'
14.5783 	EXP 	window1: blendMode = 'avg'
14.5950 	EXP 	window1: blendMode = 'avg'
14.6116 	EXP 	window1: blendMode = 'avg'
14.6284 	EXP 	window1: blendMode = 'avg'
14.6450 	EXP 	window1: blendMode = 'avg'
14.6616 	EXP 	window1: blendMode = 'avg'
14.6783 	EXP 	window1: blendMode = 'avg'
14.6949 	EXP 	window1: blendMode = 'avg'
14.7117 	EXP 	window1: blendMode = 'avg'
14.7282 	EXP 	window1: blendMode = 'avg'
14.7450 	EXP 	window1: blendMode = 'avg'
14.7615 	EXP 	window1: blendMode = 'avg'
14.7783 	EXP 	window1: blendMode = 'avg'
14.7951 	EXP 	window1: blendMode = 'avg'
14.8121 	EXP 	window1: blendMode = 'avg'
14.8282 	EXP 	window1: blendMode = 'avg'
14.8453 	EXP 	window1: blendMode = 'avg'
14.8616 	EXP 	window1: blendMode = 'avg'
14.8784 	EXP 	window1: blendMode = 'avg'
14.8948 	EXP 	window1: blendMode = 'avg'
14.9117 	EXP 	window1: blendMode = 'avg'
14.9282 	EXP 	window1: blendMode = 'avg'
14.9450 	EXP 	window1: blendMode = 'avg'
14.9616 	EXP 	window1: blendMode = 'avg'
14.9784 	EXP 	window1: blendMode = 'avg'
14.9950 	EXP 	window1: blendMode = 'avg'
15.0118 	EXP 	window1: blendMode = 'avg'
15.0282 	EXP 	window1: blendMode = 'avg'
15.0453 	EXP 	window1: blendMode = 'avg'
15.0616 	EXP 	window1: blendMode = 'avg'
15.0784 	EXP 	window1: blendMode = 'avg'
15.0951 	EXP 	window1: blendMode = 'avg'
15.1119 	EXP 	window1: blendMode = 'avg'
15.1283 	EXP 	window1: blendMode = 'avg'
15.1453 	EXP 	window1: blendMode = 'avg'
15.1616 	EXP 	window1: blendMode = 'avg'
15.1782 	EXP 	window1: blendMode = 'avg'
15.1950 	EXP 	window1: blendMode = 'avg'
15.2117 	EXP 	window1: blendMode = 'avg'
15.2283 	EXP 	window1: blendMode = 'avg'
15.2452 	EXP 	window1: blendMode = 'avg'
15.2616 	EXP 	window1: blendMode = 'avg'
15.2784 	EXP 	window1: blendMode = 'avg'
15.2950 	EXP 	window1: blendMode = 'avg'
15.3119 	EXP 	window1: blendMode = 'avg'
15.3283 	EXP 	window1: blendMode = 'avg'
15.3450 	EXP 	window1: blendMode = 'avg'
15.3616 	EXP 	window1: blendMode = 'avg'
15.3784 	EXP 	window1: blendMode = 'avg'
15.3953 	EXP 	window1: blendMode = 'avg'
15.4117 	EXP 	window1: blendMode = 'avg'
15.4282 	EXP 	window1: blendMode = 'avg'
15.4450 	EXP 	window1: blendMode = 'avg'
15.4616 	EXP 	window1: blendMode = 'avg'
15.4784 	EXP 	window1: blendMode = 'avg'
15.4981 	DATA 	Keypress: space
15.5077 	EXP 	Imported conditions.xlsx as conditions, 6 conditions, 4 params
15.5084 	EXP 	Created sequence: random, trialTypes=6, nReps=1, seed=None
15.5090 	EXP 	New trial (rep=0, index=0): {'congruent': 1, 'word': u'blue', 'corrAns': u'right', 'letterColor': u'blue'}
15.5270 	EXP 	text_2: autoDraw = False
15.5270 	EXP 	text: color = u'blue (named)'
15.5270 	EXP 	text: text = u'blue'
16.0125 	EXP 	window1: blendMode = 'avg'
16.0270 	EXP 	text: autoDraw = True
16.0285 	EXP 	window1: blendMode = 'avg'
16.0449 	EXP 	window1: blendMode = 'avg'
16.0618 	EXP 	window1: blendMode = 'avg'
16.0790 	EXP 	window1: blendMode = 'avg'
16.0950 	EXP 	window1: blendMode = 'avg'
16.1116 	EXP 	window1: blendMode = 'avg'
16.1285 	EXP 	window1: blendMode = 'avg'
16.1450 	EXP 	window1: blendMode = 'avg'
16.1621 	EXP 	window1: blendMode = 'avg'
16.1782 	EXP 	window1: blendMode = 'avg'
16.1951 	EXP 	window1: blendMode = 'avg'
16.2116 	EXP 	window1: blendMode = 'avg'
16.2284 	EXP 	window1: blendMode = 'avg'
16.2449 	EXP 	window1: blendMode = 'avg'
16.2620 	EXP 	window1: blendMode = 'avg'
16.2783 	EXP 	window1: blendMode = 'avg'
16.2952 	EXP 	window1: blendMode = 'avg'
16.3120 	EXP 	window1: blendMode = 'avg'
16.3285 	EXP 	window1: blendMode = 'avg'
16.3449 	EXP 	window1: blendMode = 'avg'
16.3618 	EXP 	window1: blendMode = 'avg'
16.3783 	EXP 	window1: blendMode = 'avg'
16.3954 	EXP 	window1: blendMode = 'avg'
16.4116 	EXP 	window1: blendMode = 'avg'
16.4285 	EXP 	window1: blendMode = 'avg'
16.4449 	EXP 	window1: blendMode = 'avg'
16.4619 	EXP 	window1: blendMode = 'avg'
16.4783 	EXP 	window1: blendMode = 'avg'
16.4955 	EXP 	window1: blendMode = 'avg'
16.5122 	EXP 	window1: blendMode = 'avg'
16.5288 	EXP 	window1: blendMode = 'avg'
16.5456 	EXP 	window1: blendMode = 'avg'
16.5621 	EXP 	window1: blendMode = 'avg'
16.5789 	EXP 	window1: blendMode = 'avg'
16.5952 	EXP 	window1: blendMode = 'avg'
16.6117 	EXP 	window1: blendMode = 'avg'
16.6286 	EXP 	window1: blendMode = 'avg'
16.6450 	EXP 	window1: blendMode = 'avg'
16.6619 	EXP 	window1: blendMode = 'avg'
16.6784 	EXP 	window1: blendMode = 'avg'
16.6955 	EXP 	window1: blendMode = 'avg'
16.7117 	EXP 	window1: blendMode = 'avg'
16.7286 	EXP 	window1: blendMode = 'avg'
16.7450 	EXP 	window1: blendMode = 'avg'
16.7623 	EXP 	window1: blendMode = 'avg'
16.7784 	EXP 	window1: blendMode = 'avg'
16.7953 	EXP 	window1: blendMode = 'avg'
16.8117 	EXP 	window1: blendMode = 'avg'
16.8286 	EXP 	window1: blendMode = 'avg'
16.8449 	EXP 	window1: blendMode = 'avg'
16.8621 	EXP 	window1: blendMode = 'avg'
16.8784 	EXP 	window1: blendMode = 'avg'
16.8951 	EXP 	window1: blendMode = 'avg'
16.9117 	EXP 	window1: blendMode = 'avg'
16.9286 	EXP 	window1: blendMode = 'avg'
16.9449 	EXP 	window1: blendMode = 'avg'
16.9620 	EXP 	window1: blendMode = 'avg'
16.9784 	EXP 	window1: blendMode = 'avg'
16.9952 	EXP 	window1: blendMode = 'avg'
17.0117 	EXP 	window1: blendMode = 'avg'
17.0286 	EXP 	window1: blendMode = 'avg'
17.0449 	EXP 	window1: blendMode = 'avg'
17.0619 	EXP 	window1: blendMode = 'avg'
17.0784 	EXP 	window1: blendMode = 'avg'
17.0951 	EXP 	window1: blendMode = 'avg'
17.1120 	EXP 	window1: blendMode = 'avg'
17.1287 	EXP 	window1: blendMode = 'avg'
17.1450 	EXP 	window1: blendMode = 'avg'
17.1618 	EXP 	window1: blendMode = 'avg'
17.1784 	EXP 	window1: blendMode = 'avg'
17.1951 	EXP 	window1: blendMode = 'avg'
17.2118 	EXP 	window1: blendMode = 'avg'
17.2291 	EXP 	window1: blendMode = 'avg'
17.2450 	EXP 	window1: blendMode = 'avg'
17.2620 	EXP 	window1: blendMode = 'avg'
17.2784 	EXP 	window1: blendMode = 'avg'
17.2953 	EXP 	window1: blendMode = 'avg'
17.3117 	EXP 	window1: blendMode = 'avg'
17.3286 	EXP 	window1: blendMode = 'avg'
17.3451 	EXP 	window1: blendMode = 'avg'
17.3623 	EXP 	window1: blendMode = 'avg'
17.3784 	EXP 	window1: blendMode = 'avg'
17.3953 	EXP 	window1: blendMode = 'avg'
17.3973 	DATA 	Keypress: down
17.4128 	EXP 	New trial (rep=0, index=1): {'congruent': 1, 'word': u'red', 'corrAns': u'left', 'letterColor': u'red'}
17.4272 	EXP 	text: autoDraw = False
17.4272 	EXP 	text: color = u'red (named)'
17.4272 	EXP 	text: text = u'red'
17.9296 	EXP 	window1: blendMode = 'avg'
17.9437 	EXP 	text: autoDraw = True
17.9451 	EXP 	window1: blendMode = 'avg'
17.9621 	EXP 	window1: blendMode = 'avg'
17.9785 	EXP 	window1: blendMode = 'avg'
17.9955 	EXP 	window1: blendMode = 'avg'
18.0119 	EXP 	window1: blendMode = 'avg'
18.0288 	EXP 	window1: blendMode = 'avg'
18.0453 	EXP 	window1: blendMode = 'avg'
18.0623 	EXP 	window1: blendMode = 'avg'
18.0786 	EXP 	window1: blendMode = 'avg'
18.0954 	EXP 	window1: blendMode = 'avg'
18.1119 	EXP 	window1: blendMode = 'avg'
18.1287 	EXP 	window1: blendMode = 'avg'
18.1452 	EXP 	window1: blendMode = 'avg'
18.1621 	EXP 	window1: blendMode = 'avg'
18.1785 	EXP 	window1: blendMode = 'avg'
18.1954 	EXP 	window1: blendMode = 'avg'
18.2118 	EXP 	window1: blendMode = 'avg'
18.2287 	EXP 	window1: blendMode = 'avg'
18.2451 	EXP 	window1: blendMode = 'avg'
18.2620 	EXP 	window1: blendMode = 'avg'
18.2787 	EXP 	window1: blendMode = 'avg'
18.2953 	EXP 	window1: blendMode = 'avg'
18.3118 	EXP 	window1: blendMode = 'avg'
18.3287 	EXP 	window1: blendMode = 'avg'
18.3451 	EXP 	window1: blendMode = 'avg'
18.3620 	EXP 	window1: blendMode = 'avg'
18.3787 	EXP 	window1: blendMode = 'avg'
18.3953 	EXP 	window1: blendMode = 'avg'
18.4120 	EXP 	window1: blendMode = 'avg'
18.4287 	EXP 	window1: blendMode = 'avg'
18.4453 	EXP 	window1: blendMode = 'avg'
18.4620 	EXP 	window1: blendMode = 'avg'
18.4785 	EXP 	window1: blendMode = 'avg'
18.4954 	EXP 	window1: blendMode = 'avg'
18.5119 	EXP 	window1: blendMode = 'avg'
18.5288 	EXP 	window1: blendMode = 'avg'
18.5456 	EXP 	window1: blendMode = 'avg'
18.5620 	EXP 	window1: blendMode = 'avg'
18.5786 	EXP 	window1: blendMode = 'avg'
18.5954 	EXP 	window1: blendMode = 'avg'
18.6119 	EXP 	window1: blendMode = 'avg'
18.6288 	EXP 	window1: blendMode = 'avg'
18.6452 	EXP 	window1: blendMode = 'avg'
18.6621 	EXP 	window1: blendMode = 'avg'
18.6785 	EXP 	window1: blendMode = 'avg'
18.6955 	EXP 	window1: blendMode = 'avg'
18.7120 	EXP 	window1: blendMode = 'avg'
18.7288 	EXP 	window1: blendMode = 'avg'
18.7452 	EXP 	window1: blendMode = 'avg'
18.7621 	EXP 	window1: blendMode = 'avg'
18.7786 	EXP 	window1: blendMode = 'avg'
18.7954 	EXP 	window1: blendMode = 'avg'
18.8119 	EXP 	window1: blendMode = 'avg'
18.8287 	EXP 	window1: blendMode = 'avg'
18.8453 	EXP 	window1: blendMode = 'avg'
18.8624 	DATA 	Keypress: left
18.8640 	EXP 	New trial (rep=0, index=2): {'congruent': 0, 'word': u'blue', 'corrAns': u'left', 'letterColor': u'red'}
18.8772 	EXP 	text: autoDraw = False
18.8772 	EXP 	text: color = u'red (named)'
18.8772 	EXP 	text: text = u'blue'
19.3795 	EXP 	window1: blendMode = 'avg'
19.3940 	EXP 	text: autoDraw = True
19.3955 	EXP 	window1: blendMode = 'avg'
19.4119 	EXP 	window1: blendMode = 'avg'
19.4288 	EXP 	window1: blendMode = 'avg'
19.4453 	EXP 	window1: blendMode = 'avg'
19.4620 	EXP 	window1: blendMode = 'avg'
19.4787 	EXP 	window1: blendMode = 'avg'
19.4956 	EXP 	window1: blendMode = 'avg'
19.5121 	EXP 	window1: blendMode = 'avg'
19.5289 	EXP 	window1: blendMode = 'avg'
19.5456 	EXP 	window1: blendMode = 'avg'
19.5620 	EXP 	window1: blendMode = 'avg'
19.5790 	EXP 	window1: blendMode = 'avg'
19.5955 	EXP 	window1: blendMode = 'avg'
19.6120 	EXP 	window1: blendMode = 'avg'
19.6292 	EXP 	window1: blendMode = 'avg'
19.6454 	EXP 	window1: blendMode = 'avg'
19.6620 	EXP 	window1: blendMode = 'avg'
19.6787 	EXP 	window1: blendMode = 'avg'
19.6955 	EXP 	window1: blendMode = 'avg'
19.7120 	EXP 	window1: blendMode = 'avg'
19.7289 	EXP 	window1: blendMode = 'avg'
19.7454 	EXP 	window1: blendMode = 'avg'
19.7620 	EXP 	window1: blendMode = 'avg'
19.7787 	EXP 	window1: blendMode = 'avg'
19.7955 	EXP 	window1: blendMode = 'avg'
19.8122 	EXP 	window1: blendMode = 'avg'
19.8291 	DATA 	Keypress: left
19.8308 	EXP 	New trial (rep=0, index=3): {'congruent': 0, 'word': u'green', 'corrAns': u'right', 'letterColor': u'blue'}
19.8607 	EXP 	text: autoDraw = False
19.8607 	EXP 	text: color = u'blue (named)'
19.8607 	EXP 	text: text = u'green'
20.3464 	EXP 	window1: blendMode = 'avg'
20.3608 	EXP 	text: autoDraw = True
20.3629 	EXP 	window1: blendMode = 'avg'
20.3789 	EXP 	window1: blendMode = 'avg'
20.3955 	EXP 	window1: blendMode = 'avg'
20.4122 	EXP 	window1: blendMode = 'avg'
20.4288 	EXP 	window1: blendMode = 'avg'
20.4456 	EXP 	window1: blendMode = 'avg'
20.4620 	EXP 	window1: blendMode = 'avg'
20.4792 	EXP 	window1: blendMode = 'avg'
20.4955 	EXP 	window1: blendMode = 'avg'
20.5122 	EXP 	window1: blendMode = 'avg'
20.5288 	EXP 	window1: blendMode = 'avg'
20.5458 	EXP 	window1: blendMode = 'avg'
20.5620 	EXP 	window1: blendMode = 'avg'
20.5790 	EXP 	window1: blendMode = 'avg'
20.5954 	EXP 	window1: blendMode = 'avg'
20.6121 	EXP 	window1: blendMode = 'avg'
20.6288 	EXP 	window1: blendMode = 'avg'
20.6456 	EXP 	window1: blendMode = 'avg'
20.6621 	EXP 	window1: blendMode = 'avg'
20.6790 	EXP 	window1: blendMode = 'avg'
20.6955 	EXP 	window1: blendMode = 'avg'
20.7121 	EXP 	window1: blendMode = 'avg'
20.7288 	EXP 	window1: blendMode = 'avg'
20.7457 	EXP 	window1: blendMode = 'avg'
20.7621 	EXP 	window1: blendMode = 'avg'
20.7796 	EXP 	window1: blendMode = 'avg'
20.7955 	EXP 	window1: blendMode = 'avg'
20.8122 	EXP 	window1: blendMode = 'avg'
20.8288 	EXP 	window1: blendMode = 'avg'
20.8456 	EXP 	window1: blendMode = 'avg'
20.8621 	EXP 	window1: blendMode = 'avg'
20.8790 	EXP 	window1: blendMode = 'avg'
20.8956 	EXP 	window1: blendMode = 'avg'
20.9122 	EXP 	window1: blendMode = 'avg'
20.9289 	EXP 	window1: blendMode = 'avg'
20.9457 	EXP 	window1: blendMode = 'avg'
20.9621 	EXP 	window1: blendMode = 'avg'
20.9791 	EXP 	window1: blendMode = 'avg'
20.9955 	EXP 	window1: blendMode = 'avg'
21.0124 	EXP 	window1: blendMode = 'avg'
21.0288 	EXP 	window1: blendMode = 'avg'
21.0460 	EXP 	window1: blendMode = 'avg'
21.0622 	EXP 	window1: blendMode = 'avg'
21.0790 	EXP 	window1: blendMode = 'avg'
21.0956 	EXP 	window1: blendMode = 'avg'
21.1122 	EXP 	window1: blendMode = 'avg'
21.1289 	EXP 	window1: blendMode = 'avg'
21.1458 	EXP 	window1: blendMode = 'avg'
21.1621 	EXP 	window1: blendMode = 'avg'
21.1790 	EXP 	window1: blendMode = 'avg'
21.1960 	EXP 	window1: blendMode = 'avg'
21.2123 	EXP 	window1: blendMode = 'avg'
21.2289 	EXP 	window1: blendMode = 'avg'
21.2456 	EXP 	window1: blendMode = 'avg'
21.2621 	EXP 	window1: blendMode = 'avg'
21.2792 	EXP 	window1: blendMode = 'avg'
21.2956 	EXP 	window1: blendMode = 'avg'
