10.9311 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x112a5dc10>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.9312 	EXP 	window1: recordFrameIntervals = False
11.0966 	EXP 	window1: recordFrameIntervals = True
11.2803 	EXP 	window1: recordFrameIntervals = False
11.5400 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
11.5578 	EXP 	Imported brk_conditions.xlsx as conditions, 29 conditions, 2 params
11.5585 	EXP 	Created sequence: sequential, trialTypes=29, nReps=1, seed=None
11.5589 	EXP 	New trial (rep=0, index=0): {'color': u'green', 'word': u'blue'}
11.5802 	EXP 	text: color = u'green (named)'
11.5802 	EXP 	text: text = u'blue'
12.0669 	EXP 	window1: blendMode = 'avg'
12.0805 	EXP 	text: autoDraw = True
12.0816 	EXP 	window1: blendMode = 'avg'
12.0980 	EXP 	window1: blendMode = 'avg'
12.1146 	EXP 	window1: blendMode = 'avg'
12.1311 	EXP 	window1: blendMode = 'avg'
12.1478 	EXP 	window1: blendMode = 'avg'
12.1644 	EXP 	window1: blendMode = 'avg'
12.1812 	EXP 	window1: blendMode = 'avg'
12.1978 	EXP 	window1: blendMode = 'avg'
12.2146 	EXP 	window1: blendMode = 'avg'
12.2311 	EXP 	window1: blendMode = 'avg'
12.2481 	EXP 	window1: blendMode = 'avg'
12.2644 	EXP 	window1: blendMode = 'avg'
12.2812 	EXP 	window1: blendMode = 'avg'
12.2978 	EXP 	window1: blendMode = 'avg'
12.3146 	EXP 	window1: blendMode = 'avg'
12.3311 	EXP 	window1: blendMode = 'avg'
12.3478 	EXP 	window1: blendMode = 'avg'
12.3643 	EXP 	window1: blendMode = 'avg'
12.3812 	EXP 	window1: blendMode = 'avg'
12.3978 	EXP 	window1: blendMode = 'avg'
12.4146 	EXP 	window1: blendMode = 'avg'
12.4316 	EXP 	window1: blendMode = 'avg'
12.4479 	EXP 	window1: blendMode = 'avg'
12.4646 	EXP 	window1: blendMode = 'avg'
12.4812 	EXP 	window1: blendMode = 'avg'
12.4978 	EXP 	window1: blendMode = 'avg'
12.5146 	EXP 	window1: blendMode = 'avg'
12.5310 	EXP 	window1: blendMode = 'avg'
12.5479 	EXP 	window1: blendMode = 'avg'
12.5644 	EXP 	window1: blendMode = 'avg'
12.5812 	EXP 	window1: blendMode = 'avg'
12.5978 	EXP 	window1: blendMode = 'avg'
12.6146 	EXP 	window1: blendMode = 'avg'
12.6310 	EXP 	window1: blendMode = 'avg'
12.6479 	EXP 	window1: blendMode = 'avg'
12.6645 	EXP 	window1: blendMode = 'avg'
12.6812 	EXP 	window1: blendMode = 'avg'
12.6978 	EXP 	window1: blendMode = 'avg'
12.7147 	EXP 	window1: blendMode = 'avg'
12.7311 	EXP 	window1: blendMode = 'avg'
12.7479 	EXP 	window1: blendMode = 'avg'
12.7645 	EXP 	window1: blendMode = 'avg'
12.7812 	EXP 	window1: blendMode = 'avg'
12.7979 	EXP 	window1: blendMode = 'avg'
12.8146 	EXP 	window1: blendMode = 'avg'
12.8311 	EXP 	window1: blendMode = 'avg'
12.8486 	EXP 	window1: blendMode = 'avg'
12.8645 	EXP 	window1: blendMode = 'avg'
12.8813 	EXP 	window1: blendMode = 'avg'
12.8979 	EXP 	window1: blendMode = 'avg'
12.9146 	EXP 	window1: blendMode = 'avg'
12.9312 	EXP 	window1: blendMode = 'avg'
12.9489 	EXP 	window1: blendMode = 'avg'
12.9650 	EXP 	window1: blendMode = 'avg'
12.9816 	EXP 	window1: blendMode = 'avg'
12.9981 	EXP 	window1: blendMode = 'avg'
13.0146 	EXP 	window1: blendMode = 'avg'
13.0313 	EXP 	window1: blendMode = 'avg'
13.0479 	EXP 	window1: blendMode = 'avg'
13.0646 	EXP 	window1: blendMode = 'avg'
13.0814 	EXP 	window1: blendMode = 'avg'
13.0979 	EXP 	window1: blendMode = 'avg'
13.1145 	EXP 	window1: blendMode = 'avg'
13.1313 	EXP 	window1: blendMode = 'avg'
13.1479 	EXP 	window1: blendMode = 'avg'
13.1647 	EXP 	window1: blendMode = 'avg'
13.1812 	EXP 	window1: blendMode = 'avg'
13.1979 	EXP 	window1: blendMode = 'avg'
13.2147 	EXP 	window1: blendMode = 'avg'
13.2311 	EXP 	window1: blendMode = 'avg'
13.2480 	EXP 	window1: blendMode = 'avg'
13.2650 	EXP 	window1: blendMode = 'avg'
13.2814 	EXP 	window1: blendMode = 'avg'
13.2979 	EXP 	window1: blendMode = 'avg'
13.3147 	EXP 	window1: blendMode = 'avg'
13.3311 	EXP 	window1: blendMode = 'avg'
13.3479 	EXP 	window1: blendMode = 'avg'
13.3645 	EXP 	window1: blendMode = 'avg'
13.3817 	EXP 	window1: blendMode = 'avg'
13.3979 	EXP 	window1: blendMode = 'avg'
13.4147 	EXP 	window1: blendMode = 'avg'
13.4311 	EXP 	window1: blendMode = 'avg'
13.4480 	EXP 	window1: blendMode = 'avg'
13.4648 	EXP 	window1: blendMode = 'avg'
13.4814 	EXP 	window1: blendMode = 'avg'
13.4979 	EXP 	window1: blendMode = 'avg'
13.5148 	EXP 	window1: blendMode = 'avg'
13.5311 	EXP 	window1: blendMode = 'avg'
13.5482 	EXP 	window1: blendMode = 'avg'
13.5646 	EXP 	window1: blendMode = 'avg'
13.5816 	EXP 	window1: blendMode = 'avg'
13.5984 	EXP 	window1: blendMode = 'avg'
13.6150 	EXP 	window1: blendMode = 'avg'
13.6317 	EXP 	window1: blendMode = 'avg'
13.6484 	EXP 	window1: blendMode = 'avg'
13.6649 	EXP 	window1: blendMode = 'avg'
13.6815 	EXP 	window1: blendMode = 'avg'
13.6980 	EXP 	window1: blendMode = 'avg'
13.7148 	EXP 	window1: blendMode = 'avg'
13.7314 	EXP 	window1: blendMode = 'avg'
13.7481 	EXP 	window1: blendMode = 'avg'
13.7652 	EXP 	window1: blendMode = 'avg'
13.7816 	EXP 	window1: blendMode = 'avg'
13.8003 	DATA 	Keypress: left
13.8021 	EXP 	New trial (rep=0, index=1): {'color': u'green', 'word': u'red'}
13.8301 	EXP 	text: autoDraw = False
13.8301 	EXP 	text: color = u'green (named)'
13.8301 	EXP 	text: text = u'red'
14.3155 	EXP 	window1: blendMode = 'avg'
14.3301 	EXP 	text: autoDraw = True
14.3315 	EXP 	window1: blendMode = 'avg'
14.3480 	EXP 	window1: blendMode = 'avg'
14.3648 	EXP 	window1: blendMode = 'avg'
14.3813 	EXP 	window1: blendMode = 'avg'
14.3980 	EXP 	window1: blendMode = 'avg'
14.4149 	EXP 	window1: blendMode = 'avg'
14.4315 	EXP 	window1: blendMode = 'avg'
14.4479 	EXP 	window1: blendMode = 'avg'
14.4649 	EXP 	window1: blendMode = 'avg'
14.4813 	EXP 	window1: blendMode = 'avg'
14.4981 	EXP 	window1: blendMode = 'avg'
14.5147 	EXP 	window1: blendMode = 'avg'
14.5315 	EXP 	window1: blendMode = 'avg'
14.5479 	EXP 	window1: blendMode = 'avg'
14.5648 	EXP 	window1: blendMode = 'avg'
14.5815 	EXP 	window1: blendMode = 'avg'
14.5981 	EXP 	window1: blendMode = 'avg'
14.6147 	EXP 	window1: blendMode = 'avg'
14.6315 	EXP 	window1: blendMode = 'avg'
14.6479 	EXP 	window1: blendMode = 'avg'
14.6648 	EXP 	window1: blendMode = 'avg'
14.6813 	EXP 	window1: blendMode = 'avg'
14.6980 	EXP 	window1: blendMode = 'avg'
14.7147 	EXP 	window1: blendMode = 'avg'
14.7316 	EXP 	window1: blendMode = 'avg'
14.7480 	EXP 	window1: blendMode = 'avg'
14.7651 	DATA 	Keypress: left
14.7664 	EXP 	New trial (rep=0, index=2): {'color': u'blue', 'word': u'blue '}
14.7800 	EXP 	text: autoDraw = False
14.7800 	EXP 	text: color = u'blue (named)'
14.7800 	EXP 	text: text = u'blue '
15.2820 	EXP 	window1: blendMode = 'avg'
15.2969 	EXP 	text: autoDraw = True
15.2983 	EXP 	window1: blendMode = 'avg'
15.3147 	EXP 	window1: blendMode = 'avg'
15.3315 	EXP 	window1: blendMode = 'avg'
15.3480 	EXP 	window1: blendMode = 'avg'
15.3651 	EXP 	window1: blendMode = 'avg'
15.3813 	EXP 	window1: blendMode = 'avg'
15.3983 	EXP 	window1: blendMode = 'avg'
15.4148 	EXP 	window1: blendMode = 'avg'
15.4315 	EXP 	window1: blendMode = 'avg'
15.4480 	EXP 	window1: blendMode = 'avg'
15.4649 	EXP 	window1: blendMode = 'avg'
15.4815 	EXP 	window1: blendMode = 'avg'
15.4982 	EXP 	window1: blendMode = 'avg'
15.5147 	EXP 	window1: blendMode = 'avg'
15.5315 	EXP 	window1: blendMode = 'avg'
15.5480 	EXP 	window1: blendMode = 'avg'
15.5652 	EXP 	window1: blendMode = 'avg'
15.5813 	EXP 	window1: blendMode = 'avg'
15.5981 	EXP 	window1: blendMode = 'avg'
15.6147 	EXP 	window1: blendMode = 'avg'
15.6316 	EXP 	window1: blendMode = 'avg'
15.6480 	EXP 	window1: blendMode = 'avg'
15.6649 	EXP 	window1: blendMode = 'avg'
15.6818 	DATA 	Keypress: left
15.6831 	EXP 	New trial (rep=0, index=3): {'color': u'red', 'word': u'green'}
15.6969 	EXP 	text: autoDraw = False
15.6969 	EXP 	text: color = u'red (named)'
15.6969 	EXP 	text: text = u'green'
16.1991 	EXP 	window1: blendMode = 'avg'
16.2135 	EXP 	text: autoDraw = True
16.2149 	EXP 	window1: blendMode = 'avg'
16.2316 	EXP 	window1: blendMode = 'avg'
16.2481 	EXP 	window1: blendMode = 'avg'
16.2649 	EXP 	window1: blendMode = 'avg'
16.2814 	EXP 	window1: blendMode = 'avg'
16.2983 	EXP 	window1: blendMode = 'avg'
16.3148 	EXP 	window1: blendMode = 'avg'
16.3316 	EXP 	window1: blendMode = 'avg'
16.3481 	EXP 	window1: blendMode = 'avg'
16.3650 	EXP 	window1: blendMode = 'avg'
16.3815 	EXP 	window1: blendMode = 'avg'
16.3984 	EXP 	window1: blendMode = 'avg'
