15.5251 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x11295cb90>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.5251 	EXP 	window1: recordFrameIntervals = False
15.6812 	EXP 	window1: recordFrameIntervals = True
15.8648 	EXP 	window1: recordFrameIntervals = False
16.1019 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
16.1099 	EXP 	Imported conditions.xlsx as conditions, 6 conditions, 4 params
16.1142 	EXP 	Created sequence: random, trialTypes=6, nReps=1, seed=None
16.1150 	EXP 	New trial (rep=0, index=0): {'congruent': 0, 'word': u'blue', 'corrAns': u'left', 'letterColor': u'red'}
16.1480 	EXP 	text: color = u'red (named)'
16.1480 	EXP 	text: text = u'blue'
16.6393 	EXP 	window1: blendMode = 'avg'
16.6479 	EXP 	text: autoDraw = True
16.6518 	EXP 	window1: blendMode = 'avg'
16.6659 	EXP 	window1: blendMode = 'avg'
16.6826 	EXP 	window1: blendMode = 'avg'
16.6992 	EXP 	window1: blendMode = 'avg'
16.7160 	EXP 	window1: blendMode = 'avg'
16.7325 	EXP 	window1: blendMode = 'avg'
16.7493 	EXP 	window1: blendMode = 'avg'
16.7659 	EXP 	window1: blendMode = 'avg'
16.7827 	EXP 	window1: blendMode = 'avg'
16.7994 	EXP 	window1: blendMode = 'avg'
16.8169 	EXP 	window1: blendMode = 'avg'
16.8324 	EXP 	window1: blendMode = 'avg'
16.8492 	EXP 	window1: blendMode = 'avg'
16.8661 	EXP 	window1: blendMode = 'avg'
16.8826 	EXP 	window1: blendMode = 'avg'
16.8992 	EXP 	window1: blendMode = 'avg'
16.9160 	EXP 	window1: blendMode = 'avg'
16.9326 	EXP 	window1: blendMode = 'avg'
16.9494 	EXP 	window1: blendMode = 'avg'
16.9661 	EXP 	window1: blendMode = 'avg'
16.9827 	EXP 	window1: blendMode = 'avg'
16.9992 	EXP 	window1: blendMode = 'avg'
17.0161 	EXP 	window1: blendMode = 'avg'
17.0326 	EXP 	window1: blendMode = 'avg'
17.0494 	EXP 	window1: blendMode = 'avg'
17.0660 	EXP 	window1: blendMode = 'avg'
17.0827 	EXP 	window1: blendMode = 'avg'
17.0992 	EXP 	window1: blendMode = 'avg'
17.1160 	EXP 	window1: blendMode = 'avg'
17.1327 	EXP 	window1: blendMode = 'avg'
17.1493 	EXP 	window1: blendMode = 'avg'
17.1659 	EXP 	window1: blendMode = 'avg'
17.1828 	EXP 	window1: blendMode = 'avg'
17.1992 	EXP 	window1: blendMode = 'avg'
17.2160 	EXP 	window1: blendMode = 'avg'
17.2333 	EXP 	window1: blendMode = 'avg'
17.2493 	EXP 	window1: blendMode = 'avg'
17.2660 	EXP 	window1: blendMode = 'avg'
17.2827 	EXP 	window1: blendMode = 'avg'
17.2994 	EXP 	window1: blendMode = 'avg'
17.3161 	EXP 	window1: blendMode = 'avg'
17.3326 	EXP 	window1: blendMode = 'avg'
17.3494 	EXP 	window1: blendMode = 'avg'
17.3659 	EXP 	window1: blendMode = 'avg'
17.3827 	EXP 	window1: blendMode = 'avg'
17.3995 	EXP 	window1: blendMode = 'avg'
17.4162 	EXP 	window1: blendMode = 'avg'
17.4327 	EXP 	window1: blendMode = 'avg'
17.4499 	EXP 	window1: blendMode = 'avg'
17.4660 	EXP 	window1: blendMode = 'avg'
17.4828 	EXP 	window1: blendMode = 'avg'
17.4993 	EXP 	window1: blendMode = 'avg'
17.5162 	EXP 	window1: blendMode = 'avg'
17.5347 	DATA 	Keypress: left
17.5395 	EXP 	New trial (rep=0, index=1): {'congruent': 0, 'word': u'green', 'corrAns': u'right', 'letterColor': u'blue'}
17.5648 	EXP 	text: autoDraw = False
17.5648 	EXP 	text: color = u'blue (named)'
17.5648 	EXP 	text: text = u'green'
18.0502 	EXP 	window1: blendMode = 'avg'
18.0647 	EXP 	text: autoDraw = True
18.0665 	EXP 	window1: blendMode = 'avg'
18.0827 	EXP 	window1: blendMode = 'avg'
18.0994 	EXP 	window1: blendMode = 'avg'
18.1160 	EXP 	window1: blendMode = 'avg'
18.1328 	EXP 	window1: blendMode = 'avg'
18.1493 	EXP 	window1: blendMode = 'avg'
18.1661 	EXP 	window1: blendMode = 'avg'
18.1828 	EXP 	window1: blendMode = 'avg'
18.1998 	EXP 	window1: blendMode = 'avg'
18.2161 	EXP 	window1: blendMode = 'avg'
18.2329 	EXP 	window1: blendMode = 'avg'
18.2494 	EXP 	window1: blendMode = 'avg'
18.2661 	EXP 	window1: blendMode = 'avg'
18.2827 	EXP 	window1: blendMode = 'avg'
18.3000 	EXP 	window1: blendMode = 'avg'
18.3160 	EXP 	window1: blendMode = 'avg'
18.3330 	EXP 	window1: blendMode = 'avg'
18.3493 	EXP 	window1: blendMode = 'avg'
18.3661 	EXP 	window1: blendMode = 'avg'
18.3830 	EXP 	window1: blendMode = 'avg'
18.3995 	EXP 	window1: blendMode = 'avg'
18.4160 	EXP 	window1: blendMode = 'avg'
18.4328 	EXP 	window1: blendMode = 'avg'
18.4493 	EXP 	window1: blendMode = 'avg'
18.4664 	EXP 	window1: blendMode = 'avg'
18.4827 	EXP 	window1: blendMode = 'avg'
18.4996 	EXP 	window1: blendMode = 'avg'
18.5161 	EXP 	window1: blendMode = 'avg'
18.5328 	EXP 	window1: blendMode = 'avg'
18.5493 	EXP 	window1: blendMode = 'avg'
18.5662 	EXP 	window1: blendMode = 'avg'
18.5828 	EXP 	window1: blendMode = 'avg'
18.5996 	EXP 	window1: blendMode = 'avg'
18.6161 	EXP 	window1: blendMode = 'avg'
18.6329 	EXP 	window1: blendMode = 'avg'
18.6494 	EXP 	window1: blendMode = 'avg'
18.6664 	EXP 	window1: blendMode = 'avg'
18.6827 	EXP 	window1: blendMode = 'avg'
18.6996 	EXP 	window1: blendMode = 'avg'
18.7162 	EXP 	window1: blendMode = 'avg'
18.7329 	EXP 	window1: blendMode = 'avg'
18.7495 	EXP 	window1: blendMode = 'avg'
18.7665 	EXP 	window1: blendMode = 'avg'
18.7827 	EXP 	window1: blendMode = 'avg'
18.8003 	EXP 	window1: blendMode = 'avg'
18.8162 	EXP 	window1: blendMode = 'avg'
18.8330 	EXP 	window1: blendMode = 'avg'
18.8493 	EXP 	window1: blendMode = 'avg'
18.8662 	EXP 	window1: blendMode = 'avg'
18.8827 	EXP 	window1: blendMode = 'avg'
18.8996 	EXP 	window1: blendMode = 'avg'
18.9163 	EXP 	window1: blendMode = 'avg'
18.9330 	EXP 	window1: blendMode = 'avg'
18.9495 	EXP 	window1: blendMode = 'avg'
18.9667 	EXP 	window1: blendMode = 'avg'
18.9827 	EXP 	window1: blendMode = 'avg'
18.9998 	EXP 	window1: blendMode = 'avg'
19.0164 	EXP 	window1: blendMode = 'avg'
19.0330 	EXP 	window1: blendMode = 'avg'
19.0494 	EXP 	window1: blendMode = 'avg'
19.0665 	EXP 	window1: blendMode = 'avg'
19.0681 	DATA 	Keypress: down
19.0835 	EXP 	New trial (rep=0, index=2): {'congruent': 1, 'word': u'blue', 'corrAns': u'right', 'letterColor': u'blue'}
19.0982 	EXP 	text: autoDraw = False
19.0982 	EXP 	text: color = u'blue (named)'
19.0982 	EXP 	text: text = u'blue'
19.6005 	EXP 	window1: blendMode = 'avg'
19.6150 	EXP 	text: autoDraw = True
19.6166 	EXP 	window1: blendMode = 'avg'
19.6334 	EXP 	window1: blendMode = 'avg'
19.6494 	EXP 	window1: blendMode = 'avg'
19.6663 	EXP 	window1: blendMode = 'avg'
19.6829 	EXP 	window1: blendMode = 'avg'
19.6998 	EXP 	window1: blendMode = 'avg'
19.7163 	EXP 	window1: blendMode = 'avg'
19.7330 	EXP 	window1: blendMode = 'avg'
19.7496 	EXP 	window1: blendMode = 'avg'
19.7664 	EXP 	window1: blendMode = 'avg'
19.7829 	EXP 	window1: blendMode = 'avg'
19.7998 	EXP 	window1: blendMode = 'avg'
19.8162 	EXP 	window1: blendMode = 'avg'
19.8330 	EXP 	window1: blendMode = 'avg'
19.8496 	EXP 	window1: blendMode = 'avg'
19.8664 	EXP 	window1: blendMode = 'avg'
19.8829 	EXP 	window1: blendMode = 'avg'
19.8996 	EXP 	window1: blendMode = 'avg'
19.9162 	EXP 	window1: blendMode = 'avg'
19.9330 	EXP 	window1: blendMode = 'avg'
19.9497 	EXP 	window1: blendMode = 'avg'
19.9666 	EXP 	window1: blendMode = 'avg'
19.9830 	EXP 	window1: blendMode = 'avg'
19.9998 	EXP 	window1: blendMode = 'avg'
20.0164 	EXP 	window1: blendMode = 'avg'
20.0332 	EXP 	window1: blendMode = 'avg'
20.0493 	EXP 	window1: blendMode = 'avg'
20.0669 	EXP 	window1: blendMode = 'avg'
20.0831 	EXP 	window1: blendMode = 'avg'
20.0997 	EXP 	window1: blendMode = 'avg'
20.1163 	EXP 	window1: blendMode = 'avg'
20.1331 	EXP 	window1: blendMode = 'avg'
20.1497 	EXP 	window1: blendMode = 'avg'
20.1669 	EXP 	window1: blendMode = 'avg'
20.1827 	EXP 	window1: blendMode = 'avg'
20.1997 	EXP 	window1: blendMode = 'avg'
20.2163 	EXP 	window1: blendMode = 'avg'
20.2331 	EXP 	window1: blendMode = 'avg'
20.2495 	EXP 	window1: blendMode = 'avg'
20.2665 	EXP 	window1: blendMode = 'avg'
20.2830 	EXP 	window1: blendMode = 'avg'
20.2997 	EXP 	window1: blendMode = 'avg'
20.3162 	EXP 	window1: blendMode = 'avg'
20.3331 	EXP 	window1: blendMode = 'avg'
20.3499 	DATA 	Keypress: right
20.3516 	EXP 	New trial (rep=0, index=3): {'congruent': 0, 'word': u'red', 'corrAns': u'down', 'letterColor': u'green'}
20.3653 	EXP 	text: autoDraw = False
20.3653 	EXP 	text: color = u'green (named)'
20.3653 	EXP 	text: text = u'red'
20.8673 	EXP 	window1: blendMode = 'avg'
20.8816 	EXP 	text: autoDraw = True
20.8830 	EXP 	window1: blendMode = 'avg'
20.8998 	EXP 	window1: blendMode = 'avg'
20.9164 	EXP 	window1: blendMode = 'avg'
20.9331 	EXP 	window1: blendMode = 'avg'
20.9497 	EXP 	window1: blendMode = 'avg'
20.9665 	EXP 	window1: blendMode = 'avg'
20.9830 	EXP 	window1: blendMode = 'avg'
20.9999 	EXP 	window1: blendMode = 'avg'
21.0163 	EXP 	window1: blendMode = 'avg'
21.0332 	EXP 	window1: blendMode = 'avg'
21.0496 	EXP 	window1: blendMode = 'avg'
21.0665 	EXP 	window1: blendMode = 'avg'
21.0830 	EXP 	window1: blendMode = 'avg'
21.1002 	EXP 	window1: blendMode = 'avg'
21.1164 	EXP 	window1: blendMode = 'avg'
21.1332 	EXP 	window1: blendMode = 'avg'
21.1496 	EXP 	window1: blendMode = 'avg'
21.1665 	EXP 	window1: blendMode = 'avg'
21.1830 	EXP 	window1: blendMode = 'avg'
21.2006 	EXP 	window1: blendMode = 'avg'
21.2165 	EXP 	window1: blendMode = 'avg'
21.2332 	EXP 	window1: blendMode = 'avg'
21.2496 	EXP 	window1: blendMode = 'avg'
21.2665 	EXP 	window1: blendMode = 'avg'
21.2830 	EXP 	window1: blendMode = 'avg'
21.3000 	EXP 	window1: blendMode = 'avg'
21.3165 	EXP 	window1: blendMode = 'avg'
21.3332 	EXP 	window1: blendMode = 'avg'
21.3497 	EXP 	window1: blendMode = 'avg'
21.3665 	EXP 	window1: blendMode = 'avg'
21.3831 	EXP 	window1: blendMode = 'avg'
21.4000 	EXP 	window1: blendMode = 'avg'
21.4165 	EXP 	window1: blendMode = 'avg'
21.4333 	EXP 	window1: blendMode = 'avg'
21.4497 	EXP 	window1: blendMode = 'avg'
21.4664 	EXP 	window1: blendMode = 'avg'
21.4831 	EXP 	window1: blendMode = 'avg'
21.4998 	EXP 	window1: blendMode = 'avg'
21.5166 	EXP 	window1: blendMode = 'avg'
21.5334 	DATA 	Keypress: down
21.5351 	EXP 	New trial (rep=0, index=4): {'congruent': 1, 'word': u'red', 'corrAns': u'left', 'letterColor': u'red'}
21.5483 	EXP 	text: autoDraw = False
21.5483 	EXP 	text: color = u'red (named)'
21.5483 	EXP 	text: text = u'red'
22.0502 	EXP 	window1: blendMode = 'avg'
22.0651 	EXP 	text: autoDraw = True
22.0666 	EXP 	window1: blendMode = 'avg'
22.0831 	EXP 	window1: blendMode = 'avg'
22.1000 	EXP 	window1: blendMode = 'avg'
22.1164 	EXP 	window1: blendMode = 'avg'
22.1333 	EXP 	window1: blendMode = 'avg'
22.1499 	EXP 	window1: blendMode = 'avg'
22.1665 	EXP 	window1: blendMode = 'avg'
22.1831 	EXP 	window1: blendMode = 'avg'
22.2000 	EXP 	window1: blendMode = 'avg'
22.2165 	EXP 	window1: blendMode = 'avg'
22.2333 	EXP 	window1: blendMode = 'avg'
22.2499 	EXP 	window1: blendMode = 'avg'
22.2668 	EXP 	window1: blendMode = 'avg'
22.2830 	EXP 	window1: blendMode = 'avg'
22.3001 	EXP 	window1: blendMode = 'avg'
22.3167 	EXP 	window1: blendMode = 'avg'
22.3333 	EXP 	window1: blendMode = 'avg'
22.3505 	EXP 	window1: blendMode = 'avg'
22.3666 	EXP 	window1: blendMode = 'avg'
22.3831 	EXP 	window1: blendMode = 'avg'
22.4000 	EXP 	window1: blendMode = 'avg'
22.4165 	EXP 	window1: blendMode = 'avg'
22.4333 	EXP 	window1: blendMode = 'avg'
22.4499 	EXP 	window1: blendMode = 'avg'
22.4667 	EXP 	window1: blendMode = 'avg'
22.4833 	EXP 	window1: blendMode = 'avg'
22.5003 	EXP 	window1: blendMode = 'avg'
22.5168 	EXP 	window1: blendMode = 'avg'
22.5334 	EXP 	window1: blendMode = 'avg'
22.5498 	EXP 	window1: blendMode = 'avg'
22.5666 	EXP 	window1: blendMode = 'avg'
22.5832 	EXP 	window1: blendMode = 'avg'
22.6000 	EXP 	window1: blendMode = 'avg'
22.6165 	EXP 	window1: blendMode = 'avg'
22.6334 	EXP 	window1: blendMode = 'avg'
22.6499 	EXP 	window1: blendMode = 'avg'
22.6667 	EXP 	window1: blendMode = 'avg'
22.6832 	EXP 	window1: blendMode = 'avg'
22.7001 	EXP 	window1: blendMode = 'avg'
22.7166 	EXP 	window1: blendMode = 'avg'
22.7339 	DATA 	Keypress: left
22.7355 	EXP 	New trial (rep=0, index=5): {'congruent': 1, 'word': u'green', 'corrAns': u'down', 'letterColor': u'green'}
22.7484 	EXP 	text: autoDraw = False
22.7484 	EXP 	text: color = u'green (named)'
22.7484 	EXP 	text: text = u'green'
23.2507 	EXP 	window1: blendMode = 'avg'
23.2654 	EXP 	text: autoDraw = True
23.2670 	EXP 	window1: blendMode = 'avg'
23.2832 	EXP 	window1: blendMode = 'avg'
23.3002 	EXP 	window1: blendMode = 'avg'
23.3168 	EXP 	window1: blendMode = 'avg'
23.3336 	EXP 	window1: blendMode = 'avg'
23.3500 	EXP 	window1: blendMode = 'avg'
23.3666 	EXP 	window1: blendMode = 'avg'
23.3833 	EXP 	window1: blendMode = 'avg'
23.4002 	EXP 	window1: blendMode = 'avg'
23.4168 	EXP 	window1: blendMode = 'avg'
23.4335 	EXP 	window1: blendMode = 'avg'
23.4499 	EXP 	window1: blendMode = 'avg'
23.4667 	EXP 	window1: blendMode = 'avg'
23.4833 	EXP 	window1: blendMode = 'avg'
23.5009 	EXP 	window1: blendMode = 'avg'
23.5165 	EXP 	window1: blendMode = 'avg'
23.5335 	EXP 	window1: blendMode = 'avg'
23.5500 	EXP 	window1: blendMode = 'avg'
23.5666 	EXP 	window1: blendMode = 'avg'
23.5833 	EXP 	window1: blendMode = 'avg'
23.6002 	EXP 	window1: blendMode = 'avg'
23.6166 	EXP 	window1: blendMode = 'avg'
23.6334 	EXP 	window1: blendMode = 'avg'
23.6500 	EXP 	window1: blendMode = 'avg'
23.6667 	EXP 	window1: blendMode = 'avg'
23.6832 	EXP 	window1: blendMode = 'avg'
23.7001 	EXP 	window1: blendMode = 'avg'
23.7167 	EXP 	window1: blendMode = 'avg'
23.7334 	EXP 	window1: blendMode = 'avg'
23.7499 	EXP 	window1: blendMode = 'avg'
23.7668 	EXP 	window1: blendMode = 'avg'
23.7833 	EXP 	window1: blendMode = 'avg'
23.8002 	EXP 	window1: blendMode = 'avg'
23.8166 	EXP 	window1: blendMode = 'avg'
23.8335 	EXP 	window1: blendMode = 'avg'
23.8499 	EXP 	window1: blendMode = 'avg'
23.8677 	DATA 	Keypress: down
23.8685 	EXP 	window1: blendMode = 'avg'
23.9032 	EXP 	window1: mouseVisible = True
