color,word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
green,blue,0,0,0,0,left,0.521739959717,2017_Nov_02_1731,60.4824982624,str_brk_file,001,vask,
green,red,0,1,1,1,left,0.270200014114,2017_Nov_02_1731,60.4824982624,str_brk_file,001,vask,
blue,blue ,0,2,2,2,left,0.287034988403,2017_Nov_02_1731,60.4824982624,str_brk_file,001,vask,
red,green,0,3,3,3,left,0.351248025894,2017_Nov_02_1731,60.4824982624,str_brk_file,001,vask,
blue,green ,0,4,4,4,left,0.30259013176,2017_Nov_02_1731,60.4824982624,str_brk_file,001,vask,
green,green,0,5,5,5,left,0.319630146027,2017_Nov_02_1731,60.4824982624,str_brk_file,001,vask,
red,red,0,6,6,6,left,0.234061002731,2017_Nov_02_1731,60.4824982624,str_brk_file,001,vask,
red,blue,0,7,7,7,left,0.368335962296,2017_Nov_02_1731,60.4824982624,str_brk_file,001,vask,
blue,red,0,8,8,8,left,0.363667011261,2017_Nov_02_1731,60.4824982624,str_brk_file,001,vask,
white,BreakTime,0,9,9,9,space,1.63473701477,2017_Nov_02_1731,60.4824982624,str_brk_file,001,vask,
