8.0632 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113258c10>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.0633 	EXP 	window1: recordFrameIntervals = False
8.2277 	EXP 	window1: recordFrameIntervals = True
8.4115 	EXP 	window1: recordFrameIntervals = False
8.5189 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
8.5256 	EXP 	Imported brk_conditions.xlsx as conditions, 29 conditions, 2 params
8.5265 	EXP 	Created sequence: sequential, trialTypes=29, nReps=1, seed=None
8.5271 	EXP 	New trial (rep=0, index=0): {'color': u'green', 'word': u'blue'}
8.5446 	EXP 	text: color = u'green (named)'
8.5446 	EXP 	text: text = u'blue'
9.0342 	EXP 	window1: blendMode = 'avg'
9.0444 	EXP 	text: autoDraw = True
9.0460 	EXP 	window1: blendMode = 'avg'
9.0626 	EXP 	window1: blendMode = 'avg'
9.0794 	EXP 	window1: blendMode = 'avg'
9.0959 	EXP 	window1: blendMode = 'avg'
9.1126 	EXP 	window1: blendMode = 'avg'
9.1293 	EXP 	window1: blendMode = 'avg'
9.1460 	EXP 	window1: blendMode = 'avg'
9.1625 	EXP 	window1: blendMode = 'avg'
9.1804 	EXP 	window1: blendMode = 'avg'
9.1961 	EXP 	window1: blendMode = 'avg'
9.2130 	EXP 	window1: blendMode = 'avg'
9.2298 	EXP 	window1: blendMode = 'avg'
9.2460 	EXP 	window1: blendMode = 'avg'
9.2639 	EXP 	window1: blendMode = 'avg'
9.2791 	EXP 	window1: blendMode = 'avg'
9.2973 	EXP 	window1: blendMode = 'avg'
9.3125 	EXP 	window1: blendMode = 'avg'
9.3291 	EXP 	window1: blendMode = 'avg'
9.3473 	EXP 	window1: blendMode = 'avg'
9.3641 	EXP 	window1: blendMode = 'avg'
9.3800 	EXP 	window1: blendMode = 'avg'
9.3959 	EXP 	window1: blendMode = 'avg'
9.4126 	EXP 	window1: blendMode = 'avg'
9.4294 	EXP 	window1: blendMode = 'avg'
9.4460 	EXP 	window1: blendMode = 'avg'
9.4641 	EXP 	window1: blendMode = 'avg'
9.4804 	EXP 	window1: blendMode = 'avg'
9.4969 	EXP 	window1: blendMode = 'avg'
9.5128 	EXP 	window1: blendMode = 'avg'
9.5294 	EXP 	window1: blendMode = 'avg'
9.5461 	EXP 	window1: blendMode = 'avg'
9.5658 	DATA 	Keypress: left
9.5675 	EXP 	New trial (rep=0, index=1): {'color': u'green', 'word': u'red'}
9.5937 	EXP 	text: autoDraw = False
9.5937 	EXP 	text: color = u'green (named)'
9.5937 	EXP 	text: text = u'red'
10.0801 	EXP 	window1: blendMode = 'avg'
10.0943 	EXP 	text: autoDraw = True
10.0961 	EXP 	window1: blendMode = 'avg'
10.1127 	EXP 	window1: blendMode = 'avg'
10.1294 	EXP 	window1: blendMode = 'avg'
10.1464 	EXP 	window1: blendMode = 'avg'
10.1634 	EXP 	window1: blendMode = 'avg'
10.1792 	EXP 	window1: blendMode = 'avg'
10.1958 	EXP 	window1: blendMode = 'avg'
10.2129 	EXP 	window1: blendMode = 'avg'
10.2295 	EXP 	window1: blendMode = 'avg'
10.2460 	EXP 	window1: blendMode = 'avg'
10.2638 	EXP 	window1: blendMode = 'avg'
10.2792 	EXP 	window1: blendMode = 'avg'
10.2970 	EXP 	window1: blendMode = 'avg'
10.3126 	EXP 	window1: blendMode = 'avg'
10.3296 	EXP 	window1: blendMode = 'avg'
10.3460 	EXP 	window1: blendMode = 'avg'
10.3642 	DATA 	Keypress: left
10.3656 	EXP 	New trial (rep=0, index=2): {'color': u'blue', 'word': u'blue '}
10.3938 	EXP 	text: autoDraw = False
10.3938 	EXP 	text: color = u'blue (named)'
10.3938 	EXP 	text: text = u'blue '
10.8810 	EXP 	window1: blendMode = 'avg'
10.8942 	EXP 	text: autoDraw = True
10.8954 	EXP 	window1: blendMode = 'avg'
10.9125 	EXP 	window1: blendMode = 'avg'
10.9302 	EXP 	window1: blendMode = 'avg'
10.9459 	EXP 	window1: blendMode = 'avg'
10.9634 	EXP 	window1: blendMode = 'avg'
10.9792 	EXP 	window1: blendMode = 'avg'
10.9959 	EXP 	window1: blendMode = 'avg'
11.0125 	EXP 	window1: blendMode = 'avg'
11.0295 	EXP 	window1: blendMode = 'avg'
11.0458 	EXP 	window1: blendMode = 'avg'
11.0634 	EXP 	window1: blendMode = 'avg'
11.0806 	EXP 	window1: blendMode = 'avg'
11.0972 	EXP 	window1: blendMode = 'avg'
11.1126 	EXP 	window1: blendMode = 'avg'
11.1293 	EXP 	window1: blendMode = 'avg'
11.1474 	EXP 	window1: blendMode = 'avg'
11.1630 	EXP 	window1: blendMode = 'avg'
11.1809 	DATA 	Keypress: left
11.1822 	EXP 	New trial (rep=0, index=3): {'color': u'red', 'word': u'green'}
11.2104 	EXP 	text: autoDraw = False
11.2104 	EXP 	text: color = u'red (named)'
