congruent,word,corrAns,letterColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
0,green,right,blue,0,0,0,3,,,,,,,,,,,,,,,,,left,0,1.23356699944,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
0,blue,left,red,0,1,1,5,,,,,,,,,,,,,,,,,left,1,0.702210903168,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
1,blue,right,blue,0,2,2,4,,,,,,,,,,,,,,,,,left,0,0.6512799263,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
0,red,down,green,0,3,3,1,,,,,,,,,,,,,,,,,left,0,0.4695520401,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
1,green,down,green,0,4,4,2,,,,,,,,,,,,,,,,,left,0,0.535184860229,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
1,red,left,red,0,5,5,0,,,,,,,,,,,,,,,,,left,1,0.466526985168,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.80582785606,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
0,red,down,green,,,,,0,0,0,1,,,,,,,,,,,,,left,0,1.05227088928,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
1,blue,right,blue,,,,,0,1,1,4,,,,,,,,,,,,,left,0,0.335916996002,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
1,red,left,red,,,,,0,2,2,0,,,,,,,,,,,,,left,1,0.352581977844,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
0,blue,left,red,,,,,0,3,3,5,,,,,,,,,,,,,right,0,0.352350950241,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
1,green,down,green,,,,,0,4,4,2,,,,,,,,,,,,,right,0,0.418035030365,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
0,green,right,blue,,,,,0,5,5,3,,,,,,,,,,,,,right,1,0.586345911026,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.78614592552,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
0,blue,left,red,,,,,,,,,0,0,0,5,,,,,,,,,right,0,6.18519496918,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
0,green,right,blue,,,,,,,,,0,1,1,3,,,,,,,,,left,0,0.935549020767,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
0,red,down,green,,,,,,,,,0,2,2,1,,,,,,,,,left,0,0.768674135208,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
1,red,left,red,,,,,,,,,0,3,3,0,,,,,,,,,left,1,0.785374164581,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
1,blue,right,blue,,,,,,,,,0,4,4,4,,,,,,,,,left,0,1.85202908516,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
1,green,down,green,,,,,,,,,0,5,5,2,,,,,,,,,left,0,0.584168195724,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.65246701241,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
0,blue,left,red,,,,,,,,,,,,,0,0,0,5,,,,,left,1,2.51897215843,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
0,green,right,blue,,,,,,,,,,,,,0,1,1,3,,,,,left,0,0.518712043762,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
1,blue,right,blue,,,,,,,,,,,,,0,2,2,4,,,,,down,0,4.28498697281,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
1,green,down,green,,,,,,,,,,,,,0,3,3,2,,,,,left,0,0.785550117493,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
0,red,down,green,,,,,,,,,,,,,0,4,4,1,,,,,left,0,0.602339029312,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
1,red,left,red,,,,,,,,,,,,,0,5,5,0,,,,,left,1,0.402481794357,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.917279005051,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
1,green,down,green,,,,,,,,,,,,,,,,,0,0,0,2,left,0,1.90230798721,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
1,red,left,red,,,,,,,,,,,,,,,,,0,1,1,0,left,1,0.38535618782,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
0,blue,left,red,,,,,,,,,,,,,,,,,0,2,2,5,left,1,0.35261797905,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
1,blue,right,blue,,,,,,,,,,,,,,,,,0,3,3,4,left,0,0.48591709137,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
0,red,down,green,,,,,,,,,,,,,,,,,0,4,4,1,left,0,0.518935918808,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
0,green,right,blue,,,,,,,,,,,,,,,,,0,5,5,3,left,0,0.385402917862,,,2017_Nov_02_1648,60.0550393036,stroop_break,001,vsc,
