17.7559 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113358c50>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.7560 	EXP 	window1: recordFrameIntervals = False
17.9212 	EXP 	window1: recordFrameIntervals = True
18.1048 	EXP 	window1: recordFrameIntervals = False
18.3294 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
18.3365 	EXP 	Imported brk_conditions.xlsx as conditions, 29 conditions, 2 params
18.3373 	EXP 	Created sequence: random, trialTypes=29, nReps=1, seed=None
18.3379 	EXP 	New trial (rep=0, index=0): {'color': u'blue', 'word': u'green '}
18.3713 	EXP 	text: color = u'blue (named)'
18.3713 	EXP 	text: text = u'green '
18.8606 	EXP 	window1: blendMode = 'avg'
18.8711 	EXP 	text: autoDraw = True
18.8726 	EXP 	window1: blendMode = 'avg'
18.8894 	EXP 	window1: blendMode = 'avg'
18.9060 	EXP 	window1: blendMode = 'avg'
18.9233 	EXP 	window1: blendMode = 'avg'
18.9403 	EXP 	window1: blendMode = 'avg'
18.9567 	EXP 	window1: blendMode = 'avg'
18.9735 	EXP 	window1: blendMode = 'avg'
18.9901 	EXP 	window1: blendMode = 'avg'
19.0079 	EXP 	window1: blendMode = 'avg'
19.0227 	EXP 	window1: blendMode = 'avg'
19.0399 	EXP 	window1: blendMode = 'avg'
19.0565 	EXP 	window1: blendMode = 'avg'
19.0734 	EXP 	window1: blendMode = 'avg'
19.0898 	EXP 	window1: blendMode = 'avg'
